F583-4_rotmod
rad,vObs,errV,gas,disk,bulge
0.22,10.7,4.9,0.47,5.59,0.0
0.76,24.7,4.9,1.87,17.63,0.0
1.31,38.9,4.9,3.27,26.64,0.0
1.94,42.7,7.89,4.87,32.27,0.0
3.92,55.0,4.9,8.5,38.26,0.0
4.35,57.2,4.9,9.17,38.43,0.0
5.0,59.8,4.9,10.3,39.09,0.0
5.05,62.5,3.43,10.4,39.06,0.0
5.83,61.8,3.98,12.1,38.38,0.0
6.09,64.4,4.9,12.72,38.13,0.0
6.74,67.2,4.9,14.18,39.23,0.0
7.29,69.9,4.9,15.33,36.96,0.0
