UGC02487_rotmod
rad,vObs,errV,gas,disk,bulge
9.93,377.0,10.3,-13.26,255.96,207.88
10.05,377.0,19.7,-13.37,257.66,206.72
10.35,378.0,10.8,-13.47,261.62,204.38
15.07,367.0,10.7,-11.85,272.35,172.87
20.09,364.0,6.67,13.97,269.96,151.39
25.12,375.0,6.19,27.34,262.34,134.72
30.14,383.0,3.82,34.12,253.37,123.32
35.17,378.0,2.21,36.15,235.34,114.11
40.19,364.0,4.0,36.15,219.18,106.71
45.21,349.0,3.0,35.84,206.41,100.63
50.24,338.0,3.08,37.87,194.11,95.47
55.26,332.0,2.19,41.62,183.23,91.03
60.28,330.0,1.61,44.55,174.98,87.16
65.31,329.0,2.2,46.17,166.27,83.74
70.33,330.0,3.53,46.48,159.17,80.69
75.35,332.0,13.4,44.86,152.96,77.96
80.38,333.0,15.3,42.32,147.51,75.48
