UGC09037_rotmod
rad,vObs,errV,gas,disk,bulge
2.43,62.2,5.69,10.89,136.53,0.0
3.65,88.2,3.85,14.29,148.1,0.0
4.86,107.0,4.42,16.72,150.72,0.0
6.08,120.0,3.93,25.95,151.05,0.0
7.29,124.0,5.15,32.85,157.64,0.0
8.51,128.0,4.29,38.2,155.32,0.0
9.73,133.0,5.36,40.33,153.04,0.0
10.96,138.0,6.78,39.17,152.74,0.0
12.19,143.0,6.42,46.36,150.89,0.0
13.41,146.0,5.4,53.75,145.59,0.0
14.55,148.0,4.5,56.66,141.61,0.0
15.78,154.0,4.46,60.84,137.81,0.0
17.0,158.0,4.02,62.11,133.01,0.0
18.23,159.0,5.07,60.94,128.36,0.0
19.46,160.0,7.33,60.06,123.99,0.0
20.69,158.0,7.82,64.05,120.09,0.0
21.92,155.0,8.07,63.17,117.0,0.0
23.14,156.0,7.93,61.23,113.92,0.0
24.28,154.0,9.09,62.4,110.72,0.0
25.51,150.0,13.4,60.16,107.64,0.0
26.73,141.0,20.1,64.54,105.08,0.0
27.96,152.0,16.0,66.58,102.79,0.0
