UGC12506_rotmod
rad,vObs,errV,gas,disk,bulge
0.82,107.0,25.6,8.12,32.7,0.0
2.46,159.0,26.5,22.67,79.76,0.0
4.1,194.0,13.9,31.68,107.57,0.0
5.74,198.0,14.6,34.72,124.14,0.0
7.38,211.0,13.2,31.78,137.6,0.0
9.02,222.0,13.6,23.89,155.68,0.0
10.65,230.0,11.6,14.68,168.58,0.0
12.29,239.0,11.6,14.98,175.29,0.0
13.93,237.0,11.6,26.72,175.91,0.0
15.57,240.0,11.6,39.88,176.17,0.0
17.21,245.0,11.6,50.51,175.33,0.0
18.85,249.0,11.6,57.09,172.3,0.0
20.49,248.0,11.6,60.02,168.12,0.0
22.13,250.0,11.6,60.43,164.68,0.0
23.77,255.0,11.6,58.91,161.19,0.0
25.41,244.0,14.9,57.29,157.33,0.0
27.05,244.0,11.6,58.0,153.64,0.0
28.68,249.0,11.6,61.94,149.77,0.0
30.32,251.0,11.6,65.99,146.07,0.0
31.96,249.0,11.6,67.21,143.32,0.0
33.6,244.0,12.9,64.98,140.67,0.0
35.24,239.0,16.2,62.25,138.0,0.0
36.88,238.0,18.4,61.64,135.58,0.0
38.52,241.0,24.9,63.36,133.6,0.0
40.16,237.0,23.0,64.98,131.71,0.0
41.8,228.0,14.0,64.88,130.03,0.0
43.44,233.0,16.9,63.87,129.69,0.0
45.08,233.0,13.7,64.47,130.42,0.0
46.71,230.0,11.6,69.03,123.79,0.0
48.35,226.0,11.6,76.21,119.55,0.0
49.99,225.0,11.6,82.59,116.42,0.0
