NGC5985_rotmod
rad,vObs,errV,gas,disk,bulge
3.54,223.0,8.0,-9.23,117.85,111.1
4.23,230.0,6.13,-10.88,124.82,101.71
4.97,248.0,5.1,-12.52,131.42,93.86
5.74,258.0,6.6,-13.93,141.81,87.33
6.47,263.0,7.0,-14.91,151.83,82.27
7.22,272.0,6.25,-15.46,163.57,77.87
8.02,287.0,4.01,-16.0,173.43,73.88
8.79,289.0,7.25,-16.33,181.85,70.57
9.5,292.0,6.93,-16.22,190.1,67.89
10.27,302.0,10.4,-15.46,200.43,65.29
11.08,302.0,10.3,-13.5,209.52,62.86
11.82,304.0,10.4,-9.2,214.14,60.86
12.56,303.0,10.4,5.72,217.36,59.04
13.39,305.0,10.1,13.39,220.24,57.18
14.1,300.0,8.78,17.64,222.33,55.72
14.93,295.0,9.72,21.66,222.27,54.15
15.64,294.0,5.32,24.38,221.26,52.91
16.35,290.0,5.32,26.24,221.1,51.75
17.18,291.0,4.03,27.98,220.98,50.48
17.89,286.0,3.25,29.72,218.99,49.47
18.72,287.0,3.61,31.57,215.15,48.36
19.44,294.0,3.35,33.2,212.39,47.46
20.26,290.0,3.75,35.16,210.49,46.49
20.98,288.0,3.04,37.01,208.75,45.68
21.69,290.0,6.4,38.65,206.74,44.93
22.52,294.0,4.19,40.5,204.38,44.09
23.23,297.0,4.12,41.91,202.43,43.41
24.06,293.0,5.15,43.22,200.72,42.66
24.77,291.0,6.21,44.2,199.42,42.04
25.95,297.0,4.0,45.18,197.86,41.07
28.92,292.0,4.0,43.33,193.43,38.91
31.76,288.0,4.0,45.72,184.74,37.13
34.72,285.0,4.0,47.57,180.34,35.51
