F579-V1_rotmod
rad,vObs,errV,gas,disk,bulge
0.42,35.7,9.1,-1.7,15.39,0.0
1.47,83.3,9.3,-4.3,40.7,0.0
2.11,94.2,10.4,-3.8,48.7,0.0
2.84,97.6,9.1,-0.8,53.6,0.0
3.9,101.0,9.1,5.9,57.61,0.0
4.74,105.0,16.7,10.47,63.1,0.0
5.69,106.0,9.1,13.24,67.96,0.0
6.32,108.0,11.5,14.88,69.85,0.0
7.37,110.0,23.0,17.96,72.36,0.0
8.21,112.0,19.7,20.83,72.55,0.0
9.16,113.0,9.1,23.19,73.73,0.0
10.85,114.0,9.1,26.37,73.37,0.0
12.21,114.0,9.1,28.32,69.96,0.0
15.16,114.0,11.2,33.04,63.57,0.0
