NGC6015_rotmod
rad,vObs,errV,gas,disk,bulge
0.34,35.5,2.1,-2.27,41.97,0.0
0.67,62.4,4.2,-3.73,62.26,0.0
1.0,90.7,3.8,-5.02,80.4,0.0
1.32,104.0,2.0,-6.13,86.74,0.0
1.65,105.0,2.4,-7.07,92.13,0.0
1.98,108.0,2.0,-7.85,97.94,0.0
2.31,116.0,2.3,-8.46,104.95,0.0
2.63,130.0,3.3,-8.8,112.27,0.0
2.96,141.0,2.2,-8.85,120.94,0.0
3.28,146.0,1.6,-8.55,129.34,0.0
3.61,150.0,1.4,-7.82,137.29,0.0
3.94,152.0,1.1,-6.39,143.65,0.0
4.27,155.0,1.3,-3.64,148.22,0.0
4.6,152.0,1.8,4.74,149.97,0.0
4.94,150.0,2.4,8.31,149.81,0.0
5.3,147.0,5.5,11.17,147.82,0.0
5.63,145.0,3.8,13.71,145.9,0.0
5.96,152.0,4.1,15.93,145.72,0.0
6.27,149.0,1.4,18.03,145.22,0.0
8.24,149.0,4.0,27.98,136.77,0.0
10.3,146.0,4.0,36.61,123.8,0.0
11.13,149.0,3.2,39.92,119.88,0.0
11.95,152.0,2.8,43.13,116.47,0.0
12.72,153.0,2.4,45.67,112.55,0.0
13.58,156.0,2.2,47.33,108.33,0.0
14.43,158.0,2.8,48.11,104.74,0.0
15.29,158.0,3.1,48.44,101.4,0.0
16.02,159.0,3.8,48.44,98.71,0.0
16.88,161.0,3.6,48.11,95.6,0.0
17.73,163.0,4.0,47.66,92.8,0.0
18.59,162.0,4.8,47.0,90.22,0.0
19.32,164.0,5.7,46.67,88.2,0.0
20.18,165.0,7.0,46.56,85.97,0.0
21.04,166.0,6.3,46.12,83.92,0.0
21.89,163.0,7.0,45.56,82.02,0.0
22.63,159.0,8.5,45.34,80.48,0.0
23.48,155.0,9.1,45.12,78.82,0.0
24.34,154.0,8.0,44.68,77.25,0.0
25.19,149.0,5.4,44.57,75.79,0.0
25.93,153.0,3.1,46.56,74.58,0.0
26.78,156.0,3.0,42.58,73.28,0.0
27.64,151.0,9.4,40.7,72.03,0.0
28.37,158.0,7.7,39.26,71.03,0.0
29.23,152.0,3.4,38.26,69.88,0.0
