NGC3972_rotmod
rad,vObs,errV,gas,disk,bulge
0.87,39.6,4.9,0.0,48.19,0.0
1.74,73.0,5.2,5.93,61.19,0.0
2.61,89.4,6.6,7.31,74.23,0.0
3.5,102.0,5.3,13.47,83.56,0.0
4.37,110.0,4.4,16.7,88.18,0.0
5.24,116.0,4.4,20.91,99.34,0.0
6.11,123.0,4.4,24.68,106.44,0.0
6.98,130.0,3.9,28.34,102.6,0.0
7.85,134.0,6.1,30.6,97.1,0.0
8.72,134.0,4.9,30.07,92.41,0.0
