NGC4183_rotmod
rad,vObs,errV,gas,disk,bulge
0.87,47.1,8.2,2.5,39.16,0.0
1.74,65.9,6.6,5.78,48.78,0.0
2.61,76.1,5.6,11.64,56.83,0.0
3.5,85.7,5.6,13.9,59.49,0.0
4.37,96.6,5.2,17.89,65.42,0.0
5.24,99.3,5.2,23.49,68.37,0.0
6.11,103.0,5.2,25.97,71.96,0.0
6.98,107.0,5.2,27.48,75.74,0.0
7.85,111.0,5.2,31.47,78.27,0.0
8.72,114.0,6.1,35.45,80.37,0.0
9.6,115.0,6.1,36.42,78.73,0.0
10.47,111.0,5.6,37.82,74.74,0.0
11.35,110.0,5.6,41.81,70.87,0.0
12.31,111.0,5.2,40.2,67.15,0.0
13.12,109.0,4.8,38.58,64.51,0.0
14.05,108.0,4.4,38.15,61.97,0.0
14.98,109.0,5.2,39.01,59.84,0.0
16.03,111.0,5.3,38.26,57.82,0.0
16.95,110.0,4.9,36.53,56.23,0.0
17.88,109.0,4.9,37.39,54.53,0.0
18.93,110.0,5.3,36.86,52.76,0.0
19.97,112.0,10.2,35.67,51.32,0.0
21.02,113.0,11.5,35.35,49.87,0.0
