DDO154_rotmod
rad,vObs,errV,gas,disk,bulge
0.49,13.8,1.6,3.74,12.31,0.0
0.99,21.6,0.8,7.46,14.55,0.0
1.48,28.9,0.7,10.87,12.95,0.0
1.97,34.3,0.5,13.32,11.54,0.0
2.47,38.2,0.4,14.77,10.18,0.0
2.96,42.0,0.2,16.2,9.16,0.0
3.46,44.6,0.2,17.6,8.37,0.0
3.95,46.3,0.2,17.91,7.77,0.0
4.44,47.4,0.3,17.48,7.29,0.0
4.94,48.2,0.6,16.93,6.89,0.0
5.43,47.4,0.7,16.28,6.55,0.0
5.92,45.5,1.3,15.64,6.26,0.0
