UGC01230_rotmod
rad,vObs,errV,gas,disk,bulge
0.78,19.8,10.7,2.9,21.08,0.0
2.35,55.4,10.7,8.06,40.8,0.0
3.91,88.5,10.7,12.62,45.89,0.0
5.48,105.0,10.7,16.73,51.07,0.0
7.03,106.0,10.7,20.63,52.93,0.0
8.6,103.0,10.7,24.32,52.95,0.0
13.27,109.0,15.8,34.07,49.67,0.0
14.85,113.0,14.7,36.74,48.73,0.0
25.8,105.0,10.4,46.59,38.25,0.0
32.01,103.0,10.0,43.71,33.76,0.0
36.54,103.0,10.0,39.61,31.2,0.0
