UGC02885_rotmod
rad,vObs,errV,gas,disk,bulge
1.7,305.0,10.0,0.0,92.31,265.84
3.41,257.0,10.0,0.0,152.76,236.42
6.82,256.0,10.0,0.0,220.93,175.44
13.67,271.0,10.0,0.0,244.9,123.9
19.49,282.0,10.0,0.0,240.52,103.77
23.36,287.0,10.0,28.79,238.85,94.78
27.24,283.0,10.0,40.2,232.97,87.77
31.22,280.0,10.0,45.05,223.71,81.99
35.1,280.0,10.0,50.3,214.74,77.32
38.97,281.0,10.0,59.7,206.96,73.38
42.85,282.0,10.0,67.17,198.69,69.98
46.73,287.0,10.0,65.05,189.07,67.02
50.71,292.0,10.0,71.21,184.25,64.33
54.58,298.0,10.0,79.19,180.41,62.01
58.46,298.0,10.0,83.33,174.83,59.92
62.34,298.0,10.0,83.33,168.07,58.02
66.21,298.0,10.0,82.83,162.78,56.3
70.19,298.0,10.0,85.86,158.17,54.68
74.07,298.0,10.0,86.26,152.97,53.23
