UGC05716_rotmod
rad,vObs,errV,gas,disk,bulge
1.03,39.15,4.06,3.65,21.66,0.0
2.07,49.15,1.65,7.45,27.59,0.0
3.09,55.05,0.6,11.19,26.88,0.0
4.13,59.35,0.41,14.76,25.3,0.0
5.16,63.85,0.46,18.24,24.0,0.0
6.2,68.2,0.86,21.81,21.76,0.0
7.23,71.7,1.07,25.2,19.92,0.0
8.26,73.5,1.07,27.64,18.42,0.0
9.28,73.15,1.0,28.96,17.21,0.0
10.34,72.5,0.74,29.43,16.16,0.0
11.4,73.0,1.07,28.96,15.29,0.0
12.37,74.7,2.09,27.83,14.6,0.0
