UGC06787_rotmod
rad,vObs,errV,gas,disk,bulge
0.12,134.0,41.1,-0.73,7.68,179.06
0.24,208.0,35.5,-0.84,14.95,278.38
0.35,252.0,27.1,-0.93,21.23,309.46
0.47,272.0,11.6,-1.09,27.71,321.2
0.59,276.0,12.6,-1.27,33.83,323.58
0.71,271.0,16.3,-1.49,39.63,323.15
0.83,266.0,11.9,-1.72,45.13,320.31
0.94,262.0,12.2,-1.96,49.93,316.84
1.06,260.0,12.1,-2.21,54.94,314.79
1.18,260.0,11.9,-2.45,59.69,313.21
1.3,259.0,8.04,-2.69,64.21,311.21
1.42,257.0,10.2,-2.93,68.53,309.11
1.53,254.0,9.68,-3.17,72.32,306.55
1.66,244.0,4.95,-3.41,76.57,303.54
1.89,228.0,9.83,-3.87,83.6,297.2
2.01,220.0,18.6,-4.09,87.03,293.4
2.13,215.0,4.11,-4.3,90.32,289.39
2.24,213.0,16.1,-4.5,93.19,285.56
3.1,228.0,9.59,-5.53,112.13,255.35
3.79,236.0,7.22,-5.65,121.66,232.68
3.9,236.0,7.24,-5.61,122.76,229.34
4.14,237.0,8.26,-5.45,124.89,222.83
4.25,237.0,4.07,-5.32,125.78,219.95
4.37,237.0,4.04,-5.15,126.75,216.93
4.49,237.0,1.94,-4.93,127.73,214.04
4.61,237.0,1.49,-4.62,128.73,211.23
4.72,236.0,2.38,-4.24,129.65,208.76
5.16,235.0,2.4,-1.43,133.7,199.77
5.43,234.0,4.05,3.32,136.22,194.84
5.56,233.0,3.03,4.2,137.4,192.59
5.67,233.0,2.48,4.99,138.33,190.72
5.79,233.0,3.03,5.73,139.24,188.73
5.91,232.0,6.7,6.43,139.93,186.59
6.03,232.0,7.44,7.14,140.45,184.7
6.2,232.0,1.64,8.18,141.04,182.21
6.5,233.0,14.3,9.96,142.01,177.9
6.85,235.0,7.57,11.78,143.12,173.33
6.98,236.0,3.05,12.31,143.59,171.7
7.09,236.0,2.91,12.85,144.05,170.36
7.21,237.0,4.07,13.38,144.62,168.93
7.22,238.0,2.02,13.48,144.67,168.82
7.33,238.0,6.76,13.91,145.21,167.55
7.45,239.0,3.49,14.44,145.73,166.2
7.56,240.0,10.1,14.86,146.08,164.99
8.26,247.0,0.85,17.52,144.87,157.97
8.98,252.0,8.91,19.64,141.68,151.5
9.09,253.0,7.13,19.85,141.18,150.58
9.3,254.0,0.73,20.28,140.17,148.87
10.32,253.0,0.96,21.76,134.57,141.32
11.38,247.0,1.99,22.29,131.1,134.58
12.4,238.0,3.15,22.29,127.84,128.93
13.41,229.0,1.67,21.87,125.7,123.98
14.43,223.0,3.52,21.55,123.24,119.52
15.44,220.0,1.13,21.55,120.61,115.54
16.57,220.0,1.12,22.08,117.78,111.53
17.58,224.0,1.93,22.61,115.53,108.28
18.6,228.0,2.04,23.25,113.08,105.27
19.61,234.0,2.55,24.2,110.31,102.52
20.62,239.0,2.91,26.01,107.85,99.98
21.64,243.0,3.08,28.66,105.68,97.6
22.77,245.0,3.6,31.74,103.62,95.14
23.78,247.0,2.67,34.4,101.87,93.1
24.79,249.0,3.37,36.31,99.95,91.18
25.81,250.0,2.08,37.37,97.79,89.36
26.82,251.0,1.68,37.79,95.84,87.67
27.84,251.0,2.78,37.79,94.22,86.04
29.41,248.0,3.4,37.26,91.66,83.72
30.99,246.0,2.91,36.63,88.64,81.55
32.57,249.0,3.46,35.88,86.0,79.55
34.03,252.0,3.23,35.14,84.24,77.83
37.19,255.0,4.16,33.12,79.85,74.45
