UGC06786_rotmod
rad,vObs,errV,gas,disk,bulge
0.16,160.0,36.0,-1.22,8.07,119.49
0.32,177.0,30.9,-1.2,15.74,184.15
0.49,180.0,25.3,-1.08,23.42,201.67
0.65,180.0,32.0,-0.96,30.3,207.64
1.3,182.0,4.72,-0.33,55.43,203.18
1.46,183.0,10.8,0.44,61.06,200.04
1.62,184.0,7.43,0.74,66.51,196.81
3.72,206.0,8.42,4.94,126.3,147.67
3.89,207.0,4.54,5.38,130.52,144.55
4.05,209.0,5.36,5.86,134.47,141.56
4.22,210.0,2.43,6.37,138.94,138.76
4.26,210.0,4.6,6.53,140.05,138.12
4.38,211.0,2.8,6.92,143.43,136.21
4.54,213.0,2.18,7.46,148.24,133.79
4.71,214.0,7.61,7.98,153.86,131.35
4.86,215.0,4.7,8.49,158.53,129.31
5.02,215.0,2.34,9.0,162.82,127.24
5.18,216.0,2.95,9.51,166.08,125.27
5.35,217.0,4.48,10.02,168.84,123.26
5.51,217.0,3.99,10.53,170.67,121.46
5.68,218.0,5.14,11.06,171.8,119.61
5.84,218.0,2.51,11.59,172.47,117.97
6.0,219.0,3.95,12.13,172.94,116.4
6.15,219.0,7.84,12.55,173.44,114.95
6.48,219.0,7.74,13.72,174.41,111.99
6.64,219.0,6.69,14.25,174.58,110.63
6.81,220.0,6.26,14.68,174.53,109.24
7.1,220.0,2.52,15.64,174.07,106.99
7.13,220.0,11.4,15.74,173.95,106.76
8.52,220.0,2.93,20.1,162.17,97.67
10.66,225.0,1.79,25.95,149.89,87.32
11.99,228.0,5.71,28.72,144.35,82.33
12.1,228.0,9.96,29.04,143.9,81.96
12.33,228.0,8.24,29.36,143.03,81.19
12.78,229.0,1.74,30.21,141.37,79.75
14.93,228.0,1.64,33.5,133.3,73.78
17.08,226.0,1.34,35.21,125.19,68.98
19.23,226.0,1.39,35.84,117.76,65.01
21.27,227.0,1.11,35.52,111.0,61.81
23.42,227.0,1.37,34.46,106.04,58.91
25.57,224.0,2.79,32.87,101.01,56.38
27.72,218.0,9.41,31.59,96.03,54.15
29.87,215.0,8.18,30.53,91.96,52.16
32.02,219.0,5.06,29.67,88.37,50.38
34.05,211.0,7.05,29.04,85.42,48.86
