NGC5005_rotmod
rad,vObs,errV,gas,disk,bulge
0.49,211.0,40.1,64.37,73.17,233.76
0.98,233.0,17.4,75.6,130.38,272.92
1.47,227.0,14.4,68.11,176.13,246.78
1.97,234.0,10.8,61.94,213.49,213.16
2.46,245.0,7.67,60.52,244.17,190.74
2.95,244.0,23.3,69.43,261.9,174.18
3.44,261.0,23.3,75.4,273.58,161.3
3.93,259.0,22.7,73.37,276.37,150.91
4.42,258.0,22.7,68.82,276.54,142.3
4.92,258.0,22.5,65.78,278.71,134.88
5.74,261.0,22.4,61.84,282.13,124.87
6.56,263.0,22.4,59.41,284.24,116.81
7.37,264.0,22.3,58.09,281.24,110.2
8.19,265.0,22.2,58.09,279.02,104.54
9.01,265.0,22.2,58.19,277.3,99.67
9.83,264.0,22.0,57.28,272.35,95.42
10.65,264.0,21.9,55.06,264.11,91.67
11.47,265.0,22.0,51.82,254.75,88.34
