NGC7331_rotmod
rad,vObs,errV,gas,disk,bulge
2.67,221.0,20.0,-12.02,317.9,136.84
3.21,237.0,13.0,-12.52,344.05,124.77
3.74,249.0,8.0,-12.91,365.51,115.63
4.27,250.0,5.0,-12.71,368.89,108.22
4.81,253.0,5.0,-11.52,367.77,101.96
5.35,257.0,5.0,-9.56,371.23,96.68
5.88,257.0,5.0,-6.26,365.05,92.22
6.41,257.0,5.0,4.8,360.1,88.33
7.48,257.0,5.0,12.22,345.54,81.76
8.55,255.0,5.0,16.59,324.23,76.48
9.62,248.0,6.0,22.45,311.29,72.1
10.66,247.0,6.0,28.21,299.93,68.49
11.74,246.0,6.0,33.77,288.64,65.26
12.83,244.0,6.0,38.94,280.42,62.43
13.91,242.0,4.0,43.31,272.13,59.96
15.0,238.0,3.0,45.59,263.74,57.74
16.08,236.0,3.0,47.38,256.44,55.77
17.07,233.0,3.0,49.66,250.86,54.12
18.15,234.0,3.0,53.93,245.89,52.49
19.24,236.0,3.0,57.71,242.0,50.98
20.32,237.0,3.0,60.09,237.62,49.61
21.41,238.0,3.0,61.78,231.06,48.33
22.49,240.0,3.0,63.67,224.49,47.15
23.48,238.0,3.0,64.56,219.56,46.15
24.57,237.0,3.0,62.97,214.35,45.11
25.65,236.0,3.0,61.48,209.72,44.15
26.74,238.0,3.0,60.79,205.21,43.24
27.82,239.0,3.0,59.4,200.95,42.4
28.91,239.0,3.0,57.31,196.85,41.59
29.89,241.0,4.0,55.13,193.34,40.9
30.98,236.0,4.0,52.84,189.65,40.18
32.06,236.0,5.0,51.55,186.2,39.49
33.15,239.0,5.0,51.35,182.89,38.84
34.23,237.0,5.0,50.86,179.88,38.22
35.32,241.0,7.0,49.27,177.27,37.63
36.31,238.0,9.0,47.97,173.78,37.11
