NGC2841_rotmod-Copy1
rad,vObs,errV,gas,disk,bulge
3.44,285.0,14.4,-0.57,163.4,239.5
3.77,297.0,13.6,-0.57,171.13,229.25
4.13,303.0,8.47,-0.43,180.88,219.24
4.47,306.0,5.93,-0.1,188.37,210.91
4.8,307.0,5.93,-0.19,194.64,203.54
5.13,304.0,8.47,-0.28,200.57,196.88
5.48,308.0,8.47,-0.38,206.64,190.44
5.83,313.0,12.7,-0.48,211.29,184.57
6.16,314.0,9.32,-0.53,215.14,179.57
6.51,315.0,6.78,3.83,221.84,174.68
6.86,317.0,8.47,8.02,227.72,170.15
7.18,320.0,7.63,12.15,231.73,166.32
7.51,316.0,20.5,16.24,235.48,162.63
7.85,318.0,23.4,20.27,239.96,159.08
8.21,321.0,8.48,24.66,243.42,155.54
8.57,323.0,8.66,27.1,245.15,152.23
8.9,321.0,12.7,29.42,245.8,149.38
9.24,323.0,11.0,31.74,245.24,146.61
9.6,323.0,10.4,34.31,244.14,143.83
9.93,322.0,13.6,36.63,243.64,141.42
10.27,321.0,13.6,38.95,243.6,139.06
10.6,323.0,9.32,41.02,243.38,136.88
10.93,322.0,11.9,43.22,243.08,134.8
11.27,321.0,11.0,45.42,242.44,132.75
12.31,323.0,4.24,52.25,237.3,127.02
14.35,319.0,4.24,56.77,222.06,117.64
16.4,308.0,4.24,51.89,207.98,110.04
18.48,299.0,5.66,48.35,196.87,103.67
20.57,299.0,5.66,54.45,185.72,98.26
22.51,298.0,5.66,63.61,176.98,93.93
24.59,296.0,5.66,66.17,168.93,89.87
26.68,293.0,4.24,61.9,161.21,86.28
28.77,289.0,4.24,58.85,153.59,83.08
30.7,289.0,4.24,57.01,147.56,80.43
32.79,288.0,4.24,57.38,141.95,77.82
34.88,285.0,4.24,60.43,136.82,75.46
36.96,283.0,2.83,64.09,132.38,73.3
38.9,275.0,2.83,66.9,128.66,71.45
40.99,272.0,2.83,68.61,124.87,69.61
43.08,271.0,2.83,68.98,121.52,67.9
45.16,274.0,4.24,67.76,118.47,66.31
47.1,277.0,4.24,65.19,115.75,64.93
49.19,281.0,4.24,62.26,113.11,63.54
51.27,286.0,4.24,60.55,110.59,62.24
53.36,282.0,4.24,60.55,108.3,61.01
55.3,283.0,4.24,62.39,106.31,59.93
57.38,288.0,5.66,64.95,104.23,58.83
59.47,287.0,5.66,67.27,102.32,57.79
61.56,289.0,7.07,68.49,100.51,56.8
63.64,294.0,7.07,68.73,98.76,55.86
